Type                                  Module                      Label             Process      
-------------------------------------------------------------------------------------------------
GenEventInfoProduct                   "generator"                 ""                "SIM"        
edm::TriggerResults                   "TriggerResults"            ""                "SIM"        
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "DIGI2RAW"   
edm::TriggerResults                   "TriggerResults"            ""                "DIGI2RAW"   
float                                 "genParticles"              "t0"              "DIGI2RAW"   
vector<reco::GenMET>                  "genMetTrue"                ""                "DIGI2RAW"   
vector<reco::GenParticle>             "genPUProtons"              ""                "DIGI2RAW"   
HcalNoiseSummary                      "hcalnoise"                 ""                "RECO"       
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RECO"       
double                                "fixedGridRhoAll"           ""                "RECO"       
double                                "fixedGridRhoFastjetAll"    ""                "RECO"       
double                                "fixedGridRhoFastjetAllCalo"   ""                "RECO"       
double                                "fixedGridRhoFastjetAllTmp"   ""                "RECO"       
double                                "fixedGridRhoFastjetCentral"   ""                "RECO"       
double                                "fixedGridRhoFastjetCentralCalo"   ""                "RECO"       
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "RECO"       
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "RECO"       
edm::TriggerResults                   "TriggerResults"            ""                "RECO"       
reco::BeamHaloSummary                 "BeamHaloSummary"           ""                "RECO"       
reco::BeamSpot                        "offlineBeamSpot"           ""                "RECO"       
reco::CSCHaloData                     "CSCHaloData"               ""                "RECO"       
vector<LumiScalers>                   "scalersRawToDigi"          ""                "RECO"       
vector<l1extra::L1EmParticle>         "l1extraParticles"          "Isolated"        "RECO"       
vector<l1extra::L1EmParticle>         "l1extraParticles"          "NonIsolated"     "RECO"       
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MET"             "RECO"       
vector<l1extra::L1EtMissParticle>     "l1extraParticles"          "MHT"             "RECO"       
vector<l1extra::L1HFRings>            "l1extraParticles"          ""                "RECO"       
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Central"         "RECO"       
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Forward"         "RECO"       
vector<l1extra::L1JetParticle>        "l1extraParticles"          "IsoTau"          "RECO"       
vector<l1extra::L1JetParticle>        "l1extraParticles"          "Tau"             "RECO"       
vector<l1extra::L1MuonParticle>       "l1extraParticles"          ""                "RECO"       
vector<reco::Track>                   "displacedStandAloneMuons"   ""                "RECO"       
edm::TriggerResults                   "TriggerResults"            ""                "PAT"        
vector<PileupSummaryInfo>             "slimmedAddPileupInfo"      ""                "PAT"        
edm::Association<vector<reco::DeDxHitInfo> >    "isolatedTracks"            ""                "MINIAOD"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "slimmedMuonTrackExtras"    ""                "MINIAOD"    
edm::OwnVector<reco::BaseTagInfo,edm::ClonePolicy<reco::BaseTagInfo> >    "slimmedJetsPuppi"          "tagInfos"        "MINIAOD"    
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "slimmedMuons"              ""                "MINIAOD"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "slimmedMuons"              ""                "MINIAOD"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedEBRecHits"   "MINIAOD"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedEERecHits"   "MINIAOD"    
edm::SortedCollection<EcalRecHit,edm::StrictWeakOrdering<EcalRecHit> >    "reducedEgamma"             "reducedESRecHits"   "MINIAOD"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "reducedEgamma"             "reducedHBHEHits"   "MINIAOD"    
edm::SortedCollection<HBHERecHit,edm::StrictWeakOrdering<HBHERecHit> >    "slimmedHcalRecHits"        "reducedHcalRecHits"   "MINIAOD"    
edm::SortedCollection<HFRecHit,edm::StrictWeakOrdering<HFRecHit> >    "slimmedHcalRecHits"        "reducedHcalRecHits"   "MINIAOD"    
edm::SortedCollection<HORecHit,edm::StrictWeakOrdering<HORecHit> >    "slimmedHcalRecHits"        "reducedHcalRecHits"   "MINIAOD"    
edm::TriggerResults                   "TriggerResults"            ""                "MINIAOD"    
edm::ValueMap<float>                  "offlineSlimmedPrimaryVertices"   ""                "MINIAOD"    
edm::ValueMap<pat::HcalDepthEnergyFractions>    "packedPFCandidates"        "hcalDepthEnergyFractions"   "MINIAOD"    
edmNew::DetSetVector<SiPixelCluster>    "slimmedMuonTrackExtras"    ""                "MINIAOD"    
